Session ID,Source,Destination,FL,VRF,TimeStamp,Probe GenRate,Packet Counter,Packet Counter Type,Telemetry Period
1,1.1.1.25,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.26,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.27,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.28,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.29,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.30,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.25,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.25,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.27,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.28,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.29,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.30,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.26,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.25,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.26,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.28,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.29,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.30,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.27,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.25,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.26,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.27,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.29,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.30,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.28,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.25,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.26,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.27,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.28,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.30,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.29,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.7,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.8,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.9,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.10,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.11,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.12,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.13,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.14,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.15,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.16,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.17,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.18,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.19,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.20,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.21,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.22,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.23,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.24,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.25,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.26,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.27,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.28,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.29,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.31,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.32,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.33,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.34,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.35,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.36,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.37,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.38,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.39,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.40,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.41,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.42,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.43,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.30,1.1.1.44,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.1,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.2,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.3,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.4,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.5,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
1,1.1.1.31,1.1.1.6,Spray,Measurement,2024-07-31 15:18:59.742472,10,600,White,1.0
